"CView Export Data File: Version 2.0"
"Export From File: c:\users\mikehome\appdata\local\programs\python\python36-32\lipf6-ppc-bare_al_no_clean-galvcyc-5-corr.txt"
  lithium intercalation bare Al without plasma clean AL30

  Open Circuit Potential (V): -1.935
"Time (Sec)"	"E (Volts)"
8688.2	0.425
8689.2	0.425
8690.2	0.425
8691.2	0.425
8692.2	0.425
8693.2	0.425
8694.2	0.425
8695.2	0.425
8696.2	0.425
8697.2	0.425
8698.2	0.425
8699.2	0.425
8700.2	0.425
8701.2	0.425
8702.2	0.425
8703.2	0.425
8704.2	0.425
8705.2	0.425
8706.2	0.425
8707.2	0.425
8708.2	0.425
8709.2	0.425
8710.2	0.425
8711.2	0.425
8712.2	0.425
8713.2	0.425
8714.2	0.425
8715.2	0.425
8716.2	0.425
8717.2	0.425
8718.2	0.425
8719.2	0.425
8720.2	0.425
8721.2	0.425
8722.2	0.425
8723.2	0.425
8724.2	0.425
8725.2	0.425
8726.2	0.425
8727.2	0.425
8728.2	0.425
8729.2	0.425
8730.2	0.425
8731.2	0.425
8732.2	0.425
8733.2	0.425
8734.2	0.425
8735.2	0.425
8736.2	0.425
8737.2	0.425
8738.2	0.425
8739.2	0.425
8740.2	0.425
8741.2	0.425
8742.2	0.425
8743.2	0.425
8744.2	0.425
8745.2	0.425
8746.2	0.425
8747.2	0.425
8748.2	0.425
8749.2	0.425
8750.2	0.425
8751.2	0.425
8752.2	0.425
8753.2	0.425
8754.2	0.425
8755.2	0.425
8756.2	0.425
8757.2	0.425
8758.2	0.425
8759.2	0.425
8760.2	0.425
8761.2	0.425
8762.2	0.425
8763.2	0.425
8764.2	0.425
8765.2	0.425
8766.2	0.425
8767.2	0.425
8768.2	0.425
8769.2	0.425
8770.2	0.425
8771.2	0.425
8772.2	0.425
8773.2	0.425
8774.2	0.425
8775.2	0.425
8776.2	0.425
8777.2	0.425
8778.2	0.425
8779.2	0.425
8780.2	0.425
8781.2	0.425
8782.2	0.425
8783.2	0.425
8784.2	0.425
8785.2	0.425
8786.2	0.425
8787.2	0.425
8788.2	0.425
8789.2	0.425
8790.2	0.425
8791.2	0.425
8792.2	0.425
8793.2	0.425
8794.2	0.425
8795.2	0.425
8796.2	0.425
8797.2	0.425
8798.2	0.425
8799.2	0.425
